id,N,m,γ,nwseed,K,r,D,ξ
ssf256-1,256,3,2.0,1,100.0,0.05,0.005,0.5
ssf256-2,256,3,2.0,2,100.0,0.05,0.005,0.5
ssf256-3,256,3,2.0,3,100.0,0.05,0.005,0.5
ssf256-4,256,3,2.4,1,100.0,0.05,0.005,0.5
ssf256-5,256,3,2.4,2,100.0,0.05,0.005,0.5
ssf256-6,256,3,2.4,3,100.0,0.05,0.005,0.5
ssf256-7,256,3,3.4,1,100.0,0.05,0.005,0.5
ssf256-8,256,3,3.4,2,100.0,0.05,0.005,0.5
ssf256-9,256,3,3.4,3,100.0,0.05,0.005,0.5
ssf256-10,256,6,2.0,1,100.0,0.05,0.005,0.5
ssf256-11,256,6,2.0,2,100.0,0.05,0.005,0.5
ssf256-12,256,6,2.0,3,100.0,0.05,0.005,0.5
ssf256-13,256,6,2.4,1,100.0,0.05,0.005,0.5
ssf256-14,256,6,2.4,2,100.0,0.05,0.005,0.5
ssf256-15,256,6,2.4,3,100.0,0.05,0.005,0.5
ssf256-16,256,6,3.4,1,100.0,0.05,0.005,0.5
ssf256-17,256,6,3.4,2,100.0,0.05,0.005,0.5
ssf256-18,256,6,3.4,3,100.0,0.05,0.005,0.5
